epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7359,1.49023,3.93009,1.4438,0.00368,0.7375,0.33673,0.18722,1.41553,4.19302,1.2061,0.0002875,0.0002875,0.0002875
2,22.3691,1.16506,3.11989,1.19893,0.24162,0.42679,0.36722,0.1869,1.6135,3.76067,1.35347,0.000583623,0.000583623,0.000583623
3,30.0043,1.13916,2.84976,1.16601,0.75601,0.17687,0.43122,0.27001,1.51162,3.60613,1.19215,0.000875785,0.000875785,0.000875785
4,37.5139,1.18638,2.85803,1.17984,0.31455,0.59286,0.48908,0.33353,1.48249,3.83981,1.38667,0.00116399,0.00116399,0.00116399
5,44.9548,1.14787,2.71857,1.15028,0.39887,0.64068,0.47392,0.29408,1.54535,3.86772,1.25075,0.001217,0.001217,0.001217
6,52.5995,1.18712,2.51023,1.19973,0.45209,0.70241,0.55022,0.26882,1.85941,4.42639,1.4546,0.00120875,0.00120875,0.00120875
7,60.0647,1.24155,2.68366,1.318,0.37152,0.89044,0.59097,0.32302,1.50011,2.93847,1.20005,0.0012005,0.0012005,0.0012005
8,67.4442,1.19184,2.44414,1.13586,0.39391,0.72679,0.52618,0.33836,1.40863,3.36646,1.12761,0.00119225,0.00119225,0.00119225
9,74.8925,1.09777,2.19711,1.11456,0.39263,0.71429,0.62331,0.44329,1.24759,2.64387,1.14517,0.001184,0.001184,0.001184
10,82.2053,1.11586,2.2159,1.12157,0.52645,0.60775,0.72599,0.46818,1.18495,2.44433,1.07833,0.00117575,0.00117575,0.00117575
11,89.703,1.14222,2.172,1.09389,0.54166,0.84596,0.79816,0.48909,1.30081,2.11883,1.05702,0.0011675,0.0011675,0.0011675
12,97.2704,1.16091,2.06209,1.12521,0.86357,0.63307,0.85784,0.55213,1.39621,2.24772,1.07842,0.00115925,0.00115925,0.00115925
13,104.835,1.11778,1.94942,1.0705,0.85274,0.75,0.89342,0.48082,1.74673,2.35929,1.20914,0.001151,0.001151,0.001151
14,112.393,1.12316,1.97693,1.0984,0.78416,0.825,0.8614,0.48826,1.56044,2.18667,1.16317,0.00114275,0.00114275,0.00114275
15,119.946,1.08945,1.84536,1.07977,0.76586,0.87389,0.94194,0.50258,1.54782,2.90092,1.1244,0.0011345,0.0011345,0.0011345
16,127.571,1.07578,1.77719,1.07826,0.74909,0.96826,0.97833,0.67822,1.205,1.82309,1.0228,0.00112625,0.00112625,0.00112625
17,135.229,1.09674,1.57994,1.07384,0.82958,0.9744,0.995,0.53166,1.56247,1.73218,1.13438,0.001118,0.001118,0.001118
18,142.795,1.07895,1.60516,1.09093,0.78056,0.8125,0.87273,0.51235,1.324,1.80288,1.05591,0.00110975,0.00110975,0.00110975
19,150.748,1.0822,1.50744,1.07863,0.84689,0.94643,0.995,0.6186,1.30458,1.59324,1.02637,0.0011015,0.0011015,0.0011015
20,158.754,1.01955,1.48661,1.03087,0.92243,0.95267,0.9845,0.5818,1.49095,1.38878,1.09749,0.00109325,0.00109325,0.00109325
21,167.039,1.00796,1.36186,1.02994,0.90021,0.90781,0.98667,0.64712,1.24512,1.30422,0.98186,0.001085,0.001085,0.001085
22,174.975,0.98814,1.4169,1.05206,0.90373,0.88962,0.99062,0.61192,1.22906,1.44705,0.9954,0.00107675,0.00107675,0.00107675
23,182.573,1.02532,1.32626,1.05031,0.89872,1,0.995,0.65809,1.06292,1.30665,0.9555,0.0010685,0.0010685,0.0010685
24,190.264,1.10608,1.41361,1.09214,0.88695,0.9375,0.9825,0.61074,1.25182,1.40846,1.03186,0.00106025,0.00106025,0.00106025
25,197.978,1.05103,1.33044,1.06615,0.94006,0.99359,0.995,0.66808,1.13866,1.14728,0.95288,0.001052,0.001052,0.001052
26,205.636,1.01161,1.41447,1.05525,0.84252,0.94116,0.97051,0.59337,1.3114,1.39931,1.04746,0.00104375,0.00104375,0.00104375
